Name,Category,Timing,Starting,Growing,Harvest
Alyssum,Cover Crop,Direct sow when a slight risk of frost still exists,"Sow seeds on the surface of the soil. They should sprout in 5 to 14 days, depending on conditions.",Alyssum can be tilled under or cut and composted at the end of the season. Avoid following this cover crop with other Brassicas. Excess moisture in the soil causes Alyssum to grow very vigorously.,
Buckwheat,Cover Crop,Sow from 2-4 weeks after the last frost date through the end of August. Frost will kill this half-hardy annual.,"Sow seeds 2-4cm (1-1½"") deep.","Within ten days of blooming (or at any time before), buckwheat can be cut and turned under to improve soil tilth and add organic matter. The plants can be worked into the soil easily with a garden fork. The succulent plant matter decomposes quickly. Wait two weeks to plant the following crop.",
Clover,Cover Crop,Plant any time between the last frost date and early autumn.,"Sow seeds no deeper than 5mm (¼"").","For nitrogen fixation, allow the plants to reach flowering stage. Clover spreads by underground runners that call for more thorough tillage in the spring. A simple garden fork works well for this purpose. Allow two weeks for this clover to break down in the soil before planting the next crop.",
Hairy Vetch,Cover Crop,Plant any time between the last frost date and early autumn.,"Sow seeds no deeper than 5mm (¼"").","For nitrogen fixation, allow the plants to reach flowering stage. Clover spreads by underground runners that call for more thorough tillage in the spring. A simple garden fork works well for this purpose. Allow two weeks for this clover to break down in the soil before planting the next crop.",
Oats,Cover Crop,"The fast growth of this soil builder makes it ideal for sowing in the spring for erosion control or quick tilling. Planted in August, oats will put on a lot of growth and, in most winters, will be killed by frost. Hardy to Zone 8: -12°C (-10°F).","Sow to a depth of 2-4cm (1-1½"").","Oats are less weedy and tenacious than fall rye, and are easily worked into the soil with a garden fork. Allow two weeks before planting the next crop.",
Rye,Cover Crop,Plant fall rye 6-8 weeks before the first frost date for best results. The seeds will germinate as late as early November. A spring crop can be planted March through April. Hardy to Zone 3: -40°C (-40°F).,"Sow seeds 2-4cm (1-1½"") deep.","After its burst of spring growth, turn rye under or cut it back before it reaches 30cm (12"") tall. Allow three weeks after tilling before planting the next crop.",
Wheat,Cover Crop,"Sow 6-8 weeks before the first average frost date. Winter wheat is hardy to Zone 3: -40°C (-40°F). Unlike oats, this cold-hardy cereal will not die off over winter.","Sow to a depth of 2cm (1"").","The germinated seeds lie dormant in frosty soil, and then burst into growth in the spring, providing a greater nitrogen to carbon ratio when it is tilled under. Left to mature, it will produce hard wheat kernels by early summer. Till at any time, using a fork to properly integrate the organic matter into the soil.",
Aurinia,Flower,"Indoors, start Aurinia seeds 8-10 weeks before planting out. Or direct sow in early spring, when there is still a risk of frost, or in early autumn.",Sow seeds on the surface of the soil. Light is required to help the seeds break their dormancy. At 10-12°C (50-55°F) Aurinia seeds will take 5 to 14 days to sprout.,"If transplanting from indoor starts, do so in early spring when the soil is still cool, but the threat of frost has passed. Daytime temperatures should be steadily above 10°C (50°F). Space plants around 30cm (12″) apart in full sun, in well-drained soil. Aurinia plants will become leggy in rich soil, so do not feed. Water plants in periods of very dry weather. Cut plants back hard after flowering to prevent self sowing.",
Agastache,Flower,"Sow indoors in late winter, before the last frost date. Transplant once night time temperatures are steadily above 10°C (50°F). Otherwise, direct sow in autumn. Optimal soil temperature: 12°C (55°F).","Just cover the seeds, and keep moist in a sterile seed starting mix. When no risk of frost is left, transplant outdoors to containers or at 30cm (12″) spacing in the garden.","Provide some balanced organic fertilizer annually in the spring. Grow in well drained, fairly rich soil in full sun. Agastache can tolerate light shade, but will not perform as well. Maintain vigorous plants by dividing in the fall. Plants grown from seed may take two years to bloom.",
Amaranth,Flower,"Start indoors four weeks before the last frost to late spring. Transplant in 5-6 weeks. Direct seed when temperatures are reliably above 10°C (50°F). Overwintering types are started in July where winters are mild, and transplanted by mid-August. Optimal soil temperature: 10-30°C (50-85°F). Seeds should germinate in 7-10 days.",Sow 3-4 seeds 5mm (¼”) deep in each spot you want a plant to grow. Thin to the strongest plant. Space transplants 45-60cm (18-24″) apart in rows 60-90cm (24-36″) apart.,"Ideal pH: 6.0-6.8.Humus-rich soil amended with composted manure is best. Mix ½ cup of complete organic fertilizer into the soil beneath each transplant. From seedling to harvest, cauliflower must grow steadily to make a large plant and curd. If growth slows, scratch additional fertilizer into the surface of the soil around each plant. Maintain even soil moisture with regular watering. Shade the developing curds from sun by tying up leaves or using newspaper. This is known as “blanching,” and will keep them white. Add 20-25 days to the maturity dates if direct sowing. GerminationDays to maturity: From transplant date.In optimal conditions, at least 80% of seeds should germinate. Usual seed life: 3 years. Per 100′ row: 200 seeds, per acre: 44M seeds.","Once curd forms, check every day and cut when the florets are just beginning to separate. At this point the flavour is at peak quality and the size is maximum."
