Category,Type,Name,Latin,Matures,Season,Exposure,Difficulty,Heirloom,Open Pollinated,Container Friendly,Pollinator Attractant,Nitrogen Fixer
Cover Crop,Alyssum,Sweet Alyssum,Lobularia maritima,Sprout in 5-14 days,Warm season,Full-sun to partial shade,Easy,0,1,0,1,0
Cover Crop,Buckwheat,Buckwheat,Fagopyrum esculentum,Fast growing,Warm season,Full-sun to partial shade,Easy,0,1,0,0,0
Cover Crop,Clover,Klondike Ladino Clover Organic,Trifolium repens,Fast growing,Warm season,Full-sun to partial shade,Easy,0,0,0,0,0
Cover Crop,Clover,Crimson Clover,Trifolium incarnatum,Fast growing,Warm season,Full-sun to partial shade,Easy,0,0,0,0,0
Cover Crop,Clover,White Dutch Clover,Trifolium repens,,,Full-sun to partial shade,Easy,0,0,0,0,0
Cover Crop,Clover,Yellow Sweet Clover Organic,Melilotus officinalis,,,Full-sun to partial shade,Easy,0,0,0,1,0
Cover Crop,Clover,Medium Red Clover Organic,Trifolium pratense,short lived perennial,,Full-sun to partial shade,Easy,0,0,0,0,1
Cover Crop,Clover,Bees in Clover Organic,-,,,Full-sun to partial shade,,0,0,0,0,0
Cover Crop,Hairy Vetch,Hairy Vetch Organic,Vicia villosa,,,Full-sun to partial shade,Easy,0,0,0,0,0
Cover Crop,Oats,Oats,Avena sativa,,,Full-sun to partial shade,Easy,0,0,0,0,0
Cover Crop,Rye,Fall Rye,Secale cereale,,Cool season,Full-sun to partial shade,Easy,0,0,0,0,0
Cover Crop,Wheat,Winter Wheat,Triticum sp.,,,Full-sun to partial shade,,0,0,0,0,0
Flower,Agastache,Licorice Mint,Agastache foeniculum,May take two years to bloom,,Full-sun,Easy,0,1,0,1,0
Flower,Alyssum,Dwarf Purple,Lobularia maritima,,,Full-sun or partial shade,Easy,0,0,1,1,0
Flower,Aurinia,Basket of Gold,Aurinia saxatilis,,,Full-sun,,0,0,1,1,0
Flower,Amaranth,Green Tails Amaranth Seeds,Amaranthus sp,,Warm season,Full-sun,Easy,0,1,0,1,0
Flower,Ammi,Bishop's Flower,Ammi majus,,,Full-sun to light shade,Easy,0,1,0,1,0
